LGA Name,Tenure type,Very low income <$603 per wk,Low income $603-$964 per wk,Moderate income $965-$1446 per wk,Total
Northern Areas (DC),Being purchased (incl rent/buy),62,80,90,529
Northern Areas (DC),Rented: Public,26,0,3,41
Northern Areas (DC),Rented: Private and not stated,73,47,47,236
Northern Areas (DC),Rented: Other landlord,15,3,9,54
Northern Areas (DC),Rented: TOTAL,114,50,59,331
Northern Areas (DC),Other tenure types,278,188,153,973
Northern Areas (DC),Total households,452,325,300,1829
Norwood Payneham St Peters (C),Being purchased (incl rent/buy),216,229,397,3794
Norwood Payneham St Peters (C),Rented: Public,487,73,30,657
Norwood Payneham St Peters (C),Rented: Private and not stated,860,639,823,4332
Norwood Payneham St Peters (C),Rented: Other landlord,169,56,23,312
Norwood Payneham St Peters (C),Rented: TOTAL,1516,768,876,5301
Norwood Payneham St Peters (C),Other tenure types,1627,953,705,5723
Norwood Payneham St Peters (C),Total households,3356,1947,1978,14808
Onkaparinga (C),Being purchased (incl rent/buy),2032,2755,4335,27113
Onkaparinga (C),Rented: Public,1606,512,198,2726
Onkaparinga (C),Rented: Private and not stated,2605,2387,2353,11323
Onkaparinga (C),Rented: Other landlord,425,160,85,818
Onkaparinga (C),Rented: TOTAL,4636,3059,2636,14867
Onkaparinga (C),Other tenure types,5893,5011,3222,21043
Onkaparinga (C),Total households,12563,10828,10197,63024
Orroroo/Carrieton (DC),Being purchased (incl rent/buy),12,10,16,87
Orroroo/Carrieton (DC),Rented: Public,4,0,0,9
Orroroo/Carrieton (DC),Rented: Private and not stated,9,3,0,24
Orroroo/Carrieton (DC),Rented: Other landlord,0,0,3,5
Orroroo/Carrieton (DC),Rented: TOTAL,13,3,3,38
Orroroo/Carrieton (DC),Other tenure types,73,44,30,235
Orroroo/Carrieton (DC),Total households,97,55,47,360
Peterborough (DC),Being purchased (incl rent/buy),66,45,27,203
Peterborough (DC),Rented: Public,12,6,0,28
Peterborough (DC),Rented: Private and not stated,51,25,8,103
Peterborough (DC),Rented: Other landlord,5,3,0,15
Peterborough (DC),Rented: TOTAL,68,34,8,146
Peterborough (DC),Other tenure types,165,85,55,403
Peterborough (DC),Total households,301,162,90,755
Playford (C),Being purchased (incl rent/buy),1222,1684,2208,12180
Playford (C),Rented: Public,1625,505,254,2904
Playford (C),Rented: Private and not stated,2308,1877,1568,8063
Playford (C),Rented: Other landlord,384,157,114,986
Playford (C),Rented: TOTAL,4317,2539,1936,11953
Playford (C),Other tenure types,2272,1787,1024,7519
Playford (C),Total households,7815,6013,5163,31652
Port Adelaide Enfield (C),Being purchased (incl rent/buy),1169,1416,2452,15741
Port Adelaide Enfield (C),Rented: Public,2847,888,384,4892
Port Adelaide Enfield (C),Rented: Private and not stated,2134,1870,2101,10470
Port Adelaide Enfield (C),Rented: Other landlord,630,241,154,1424
Port Adelaide Enfield (C),Rented: TOTAL,5611,2999,2639,16786
Port Adelaide Enfield (C),Other tenure types,4444,2917,1951,14097
Port Adelaide Enfield (C),Total households,11226,7330,7041,46621
Port Augusta (C),Being purchased (incl rent/buy),111,136,191,1452
Port Augusta (C),Rented: Public,294,117,68,651
Port Augusta (C),Rented: Private and not stated,256,186,184,982
Port Augusta (C),Rented: Other landlord,44,13,32,166
Port Augusta (C),Rented: TOTAL,594,316,284,1799
Port Augusta (C),Other tenure types,487,330,250,1769
Port Augusta (C),Total households,1198,769,730,5021
Port Lincoln (C),Being purchased (incl rent/buy),119,201,262,1730
Port Lincoln (C),Rented: Public,270,78,42,495
Port Lincoln (C),Rented: Private and not stated,302,239,255,1232
Port Lincoln (C),Rented: Other landlord,49,10,15,118
Port Lincoln (C),Rented: TOTAL,621,327,312,1845
Port Lincoln (C),Other tenure types,548,368,227,1788
Port Lincoln (C),Total households,1289,906,800,5364
Port Pirie City and Districts (M),Being purchased (incl rent/buy),260,307,313,2181
Port Pirie City and Districts (M),Rented: Public,383,84,50,612
Port Pirie City and Districts (M),Rented: Private and not stated,470,247,190,1295
Port Pirie City and Districts (M),Rented: Other landlord,40,19,17,130
Port Pirie City and Districts (M),Rented: TOTAL,893,350,257,2037
Port Pirie City and Districts (M),Other tenure types,880,629,329,2692
Port Pirie City and Districts (M),Total households,2034,1286,904,6905
Prospect (C),Being purchased (incl rent/buy),102,128,223,2633
Prospect (C),Rented: Public,139,38,13,221
Prospect (C),Rented: Private and not stated,341,325,433,2057
Prospect (C),Rented: Other landlord,87,25,19,158
Prospect (C),Rented: TOTAL,567,388,465,2436
Prospect (C),Other tenure types,636,397,340,2691
